cs.AI 	Artificial Intelligence
cs.CE 	Computational Engineering, Finance, and Science
cs.CL 	Computation and Language
cs.CR 	Cryptography and Security
cs.CV 	Computer Vision and Pattern Recognition
cs.CY 	Computers and Society
cs.DL 	Digital Libraries
cs.DS 	Data Structures and Algorithms
cs.ET 	Emerging Technologies
cs.GL 	General Literature
cs.GT 	Computer Science and Game Theory
cs.HC 	Human-Computer Interaction
cs.IR 	Information Retrieval
cs.IT 	Information Theory
cs.LG 	Learning
cs.LO 	Logic in Computer Science
cs.MA 	Multiagent Systems
cs.MS 	Mathematical Software
cs.NA 	Numerical Analysis
cs.NE 	Neural and Evolutionary Computing
cs.NI 	Networking and Internet Architecture
cs.OH 	Other Computer Science
cs.OS 	Operating Systems
cs.PF 	Performance
cs.RO 	Robotics
cs.SC 	Symbolic Computation
cs.SD 	Sound
cs.SE 	Software Engineering
cs.SI 	Social and Information Networks
cs.SY 	Systems and Control
stat.AP 	Applications
stat.CO 	Computation
stat.ME 	Methodology
stat.ML 	Machine Learning
stat.OT 	Other Statistics
stat.TH 	Statistics Theory
