,title,country,documentLink,year,category,documentType,actors
0,Guidance on the AI auditing framework,United Kingdom,https://ico.org.uk/media/about-the-ico/consultations/2617219/guidance-on-the-ai-auditing-framework-draft-for-consultation.pdf,2020,Data protection,Guidance,Information Commissioner's Office
1,Artificial Intelligence Profiling Act (HB2644),USA,http://lawfilesext.leg.wa.gov/biennium/2019-20/Pdf/Bills/House%20Bills/2644.pdf?q=20200124083150,2020,Profiling,Bill,Washington State Legislature
2,Norwegian National Strategy for Artificial Intelligence,Norway,https://www.regjeringen.no/contentassets/1febbbb2c4fd4b7d92c67ddd353b6ae8/en-gb/pdfs/ki-strategi_en.pdf,2020,AI in general,Strategy,Norwegian Ministry of Local Government and Modernisation
3,Strategy for the Development of Artificial Intelligence in the Republic of Serbia for the period 2020-2025,Serbia,https://www.media.srbija.gov.rs/medsrp/dokumenti/strategy_artificial_intelligence.pdf,2020,AI in general,Strategy,Government of Serbia
4,With Great Tech Comes Great Responsibility,Global,https://foundation.mozilla.org/en/initiatives/great-tech-great-responsibility/,2020,AI in general,Guidelines,Mozilla Foundation
5,Federal Data Strategy 2020 Action Plan,USA,https://strategy.data.gov/action-plan/,2019,Data Governance,Action plan,US Office of Management and Budget
6,Structure for the White Paper on AI - A European Approached [leaked],European Union,https://www.euractiv.com/wp-content/uploads/sites/2/2020/01/AI-white-paper-EURACTIV.pdf,2019,AI in general,White paper,European Commission
7,Reporting on automated decision systems used by city agencies.,USA,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=4265421&GUID=FBA29B34-9266-4B52-B438-A772D81B1CB5&Options=&Search=,2019,Automated Decision Systems,Local law,New York City Council
8,Recommendations for an AI Strategy in Switzerland,Switzerland,https://www.satw.ch/fileadmin/user_upload/documents/02_Themen/08_Kuenstliche-Intelligenz/SATW-Swiss_AI_Strategy.pdf,2019,AI in general,White paper,Swiss Academy of Engineering Sciences
9,2016-2019 Progress Report: Advancing Artificial Intelligence R&D,USA,https://www.whitehouse.gov/wp-content/uploads/2019/11/AI-Research-and-Development-Progress-Report-2016-2019.pdf,2019,AI in general,Report,"US National Science and Technology Council, US  Office of Science and Technology Policy, Select Committee on Artificial Intelligence, Subcommittee on Machine Learning and Artificial Intelligence, Subcommittee on Networking & Information Technology Research & Development, Artificial Intelligence Research & Development Interagency Working Group, "
