,id_dest,id_source,doc_type,dest_title,source_title,dest_path,source_arxiv_url,match_type,matched_info,matched_text
0,24220,9512004,oecd,LITHUANIAN ARTIFICIAL INTELLIGENCE STRATEGY: A VISION OF THE FUTURE,"Natural language processing: she needs something old and something new
  (maybe something borrowed and something blue, too)",24220.txt,http://arxiv.org/abs/cmp-lg/9512004,by_title,naturallanguageprocessingsheneedssomethingoldandsomethingnewmaybesomethingborrowedandsomethingbluetoo,sconcernedtheareasoffocusaredeeplearningdataminingnaturallanguageprocessinggamedevelopmentcomputervisionandroboticswhilethere
1,24220,9709012,oecd,LITHUANIAN ARTIFICIAL INTELLIGENCE STRATEGY: A VISION OF THE FUTURE,"Using Single Layer Networks for Discrete, Sequential Data: An Example
  from Natural Language Processing",24220.txt,http://arxiv.org/abs/cmp-lg/9709012,by_title,usingsinglelayernetworksfordiscretesequentialdataanexamplefromnaturallanguageprocessing,sconcernedtheareasoffocusaredeeplearningdataminingnaturallanguageprocessinggamedevelopmentcomputervisionandroboticswhilethere
2,26722,1804.01660,oecd,AI TASK FORCE,"The structure of evolved representations across different substrates for
  artificial intelligence",26722.txt,http://arxiv.org/abs/1804.01660,by_title,thestructureofevolvedrepresentationsacrossdifferentsubstratesforartificialintelligence,sedinthisareaforexampletheunitedkingdomhasanofficeforartificialintelligencetheunitedstateshasaninteragencyworkinggroupforaige
3,26722,2009.09071,oecd,AI TASK FORCE,Measurement in AI Policy: Opportunities and Challenges,26722.txt,http://arxiv.org/abs/2009.09071,by_arxiv_id,2009.09071," 
 
Kohli, J, & Moody, C. (2016). What is a delivery unit?.  https://www2.deloitte.com/content/
dam/Deloitte/us/Documents/public-sector/us-fed- what-is-a-delivery-unit.pdf 
Malaysia's  Performance  Management  And  Delivery  Unit  (PEMANDU).  (n.d.).  https://
www.centreforpublicimpact.org/case-study/performance-management-delivery-  unit
-kuala-lampur/ 
Mishra, S., Clark, J., & Perrault, C. R. (2020, September 10). Measurement in AI Policy: Op-
portunities and Challenges. https://arxiv.org/abs/2009.09071v1 
MOST. 
(2017,  mayo  31).  China  Science  &  Technology  Newsletter.  http://fi.china-
embassy.org/eng/kxjs/P020171025780510759462.pdf 
Navigation and service. (2020, August 12). https://www.denkfabrik- bmas.de/en/projects/ai
-observatory/the-5-fields-of-action 
NITRD. (n.d.). https://www.nitrd.gov/nitrdgroups/index.php?title=AI 
OEA.  (2009,  august  01).  OEA  -  Organización  de  los  Estados  Americanos: Democracia  
la  seguridad  y  el  desarrollo.  http://www.oas.org/es/sla/ddi/
la  "
4,26722,2009.09071,oecd,AI TASK FORCE,Measurement in AI Policy: Opportunities and Challenges,26722.txt,http://arxiv.org/abs/2009.09071,by_title,measurementinaipolicyopportunitiesandchallenges,tkualalampurmishrasclarkjperraultcr2020september10measurementinaipolicyopportunitiesandchallengeshttpsarxivorgabs200909071v1m
5,25880,1811.11053,oecd,ACTION PLAN FOR DIGITAL TRANSFORMATION OF SLOVAKIA,"Understanding the Importance of Single Directions via Representative
  Substitution",25880.txt,http://arxiv.org/abs/1811.11053,by_title,understandingtheimportanceofsingledirectionsviarepresentativesubstitution,meansofcoursesforstudentsandteacherswiththefocusonunderstandingtheimportanceofthefunctionofdataformingandmaintainingthesecure
6,25880,1911.05586,oecd,ACTION PLAN FOR DIGITAL TRANSFORMATION OF SLOVAKIA,"Understanding the Importance of Single Directions via Representative
  Substitution",25880.txt,http://arxiv.org/abs/1911.05586,by_title,understandingtheimportanceofsingledirectionsviarepresentativesubstitution,meansofcoursesforstudentsandteacherswiththefocusonunderstandingtheimportanceofthefunctionofdataformingandmaintainingthesecure
7,24914,9512004,oecd,SUPPORT PROGRAM FOR EMERGING TECHNOLOGIES BASED ON 5G,"Natural language processing: she needs something old and something new
  (maybe something borrowed and something blue, too)",24914.txt,http://arxiv.org/abs/cmp-lg/9512004,by_title,naturallanguageprocessingsheneedssomethingoldandsomethingnewmaybesomethingborrowedandsomethingbluetoo,sconcernedtheareasoffocusaredeeplearningdataminingnaturallanguageprocessinggamedevelopmentcomputervisionandroboticswhilethere
8,24914,9709012,oecd,SUPPORT PROGRAM FOR EMERGING TECHNOLOGIES BASED ON 5G,"Using Single Layer Networks for Discrete, Sequential Data: An Example
  from Natural Language Processing",24914.txt,http://arxiv.org/abs/cmp-lg/9709012,by_title,usingsinglelayernetworksfordiscretesequentialdataanexamplefromnaturallanguageprocessing,sconcernedtheareasoffocusaredeeplearningdataminingnaturallanguageprocessinggamedevelopmentcomputervisionandroboticswhilethere
9,24350,1510.03346,oecd,AUSTRALIA'S AI ETHICS FRAMEWORK,The social dilemma of autonomous vehicles,24350.txt,http://arxiv.org/abs/1510.03346,by_title,thesocialdilemmaofautonomousvehicles,gcorporationaustraliabonnefonjfshariffarahwani2016thesocialdilemmaofautonomousvehiclesscience35262931573ackermane2016peoplewa
10,24350,1707.07232,oecd,AUSTRALIA'S AI ETHICS FRAMEWORK,Society-in-the-Loop: Programming the Algorithmic Social Contract,24350.txt,http://arxiv.org/abs/1707.07232,by_title,societyintheloopprogrammingthealgorithmicsocialcontract,linformationprocessingsystemsconferencerahwani2018societyintheloopprogrammingthealgorithmicsocialcontractethicsandinformation
11,24350,2005.11072,oecd,AUSTRALIA'S AI ETHICS FRAMEWORK,Regulating Artificial Intelligence: Proposal for a Global Solution,24350.txt,http://arxiv.org/abs/2005.11072,by_title,regulatingartificialintelligenceproposalforaglobalsolution,ustraliangovernmentaustraliaerdelyiogoldsmithj2018regulatingartificialintelligenceaproposalforaglobalsolutionconferenceonarti
12,24350,2010.15665,oecd,AUSTRALIA'S AI ETHICS FRAMEWORK,Machine Ethics and Automated Vehicles,24350.txt,http://arxiv.org/abs/2010.15665,by_title,machineethicsandautomatedvehicles,nethicsunlesstheyreapassengerieeespectrumgoodallnjmachineethicsandautomatedvehiclesinroadvehicleautomationspringer2014gerdesj
13,27005,2005.02183,oecd,CIVIL LIABILITY REGIME FOR ARTIFICIAL INTELLIGENCE,"Comparing SNNs and RNNs on Neuromorphic Vision Datasets: Similarities
  and Differences",27005.txt,http://arxiv.org/abs/2005.02183,by_title,comparingsnnsandrnnsonneuromorphicvisiondatasetssimilaritiesanddifferences,isalsocontributestoabetterunderstandingofexistingsimilaritiesanddifferencesamongmemberstatesandinturnhelpstoassesstowhatexten
14,26958,1711.00399,oecd,AI AND PRIVACY REPORT,"Counterfactual Explanations without Opening the Black Box: Automated
  Decisions and the GDPR",26958.txt,http://arxiv.org/abs/1711.00399,by_title,counterfactualexplanationswithoutopeningtheblackboxautomateddecisionsandthegdpr,examplesandrawachterbrentmittelstadtandchrisrusselcounterfactualexplanationswithoutopeningtheblackboxautomateddecisionsandthe
