,doc_type,dest_title,source_title,dest_path,source_arxiv_url,match_type,matched_info,matched_text
0,oecd,CIVIL LIABILITY REGIME FOR ARTIFICIAL INTELLIGENCE,"Don't Explain without Verifying Veracity: An Evaluation of Explainable
  AI with Video Activity Recognition",27005.txt,http://arxiv.org/abs/2005.02335v1,by_author_abbreviation,C\. Roy," Dr. soc. 
2001, p. 885, obs. C. Roy-Loustaunau), a lack of informa"
1,oecd,AI AND PRIVACY REPORT,"Why Fairness Cannot Be Automated: Bridging the Gap Between EU
  Non-Discrimination Law and AI",26958.txt,http://arxiv.org/abs/2005.05906v1,by_author,Sandra Wachter,"ine-learning-in-the-gdpr/ cf. Sandra Wachter, Brent 
Mittelstadt, Luciano F"
2,oecd,AI AND PRIVACY REPORT,"Why Fairness Cannot Be Automated: Bridging the Gap Between EU
  Non-Discrimination Law and AI",26958.txt,http://arxiv.org/abs/2005.05906v1,by_author,Sandra Wachter,"nd 25). 
 
13 See for example Sandra Wachter, Brent Mittelstadt and Chris R"
3,oecd,AI AND PRIVACY REPORT,"Why Fairness Cannot Be Automated: Bridging the Gap Between EU
  Non-Discrimination Law and AI",26958.txt,http://arxiv.org/abs/2005.05906v1,by_author,Brent Mittelstadt,"e for example Sandra Wachter, Brent Mittelstadt and Chris Russel, 
«Counterfac"
4,oecd,MALTA'S NATIONAL AI STRATEGY,Explainable AI for Interpretable Credit Scoring,24994.txt,http://arxiv.org/abs/2012.03749v1,by_author,Alexiei Dingli,"Emanuel Darmanin
Member
Prof. Alexiei Dingli
Member
Dr. Abdalla Kablan
Memb"
5,oecd,MALTA'S NATIONAL AI STRATEGY,Explainable AI for Interpretable Credit Scoring,24994.txt,http://arxiv.org/abs/2012.03749v1,by_author,Alexiei Dingli,"Education and workforce
Prof. Alexiei Dingli (Chair), Carmel Cachia, Gilber"
6,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,X-ToM: Explaining with Theory-of-Mind for Gaining Justified Human Trust,26955.txt,http://arxiv.org/abs/1909.06907v1,by_author_abbreviation,C\. Liu,"019. 
30 
[105]  N. Carlini,  C. Liu,  Ú. Erlingsson,  J. Kos,  and"
7,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Explainable Black-Box Attacks Against Model-based Authentication,26955.txt,http://arxiv.org/abs/1810.00024v1,by_author_abbreviation,S\. Jha,", P. McDaniel, I. Goodfellow, S. Jha, Z. B. Celik, and A. Swami, “P"
8,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Explainable Black-Box Attacks Against Model-based Authentication,26955.txt,http://arxiv.org/abs/1810.00024v1,by_author_abbreviation,S\. Jha,"017. 
P. Kiourti, K. Wardega, S. Jha, and W. Li, “TrojDRL: Trojan A"
9,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Explainable Black-Box Attacks Against Model-based Authentication,26955.txt,http://arxiv.org/abs/1810.00024v1,by_author_abbreviation,S\. Jha," 
N. Papernot,  P. McDaniel,  S. Jha,  M. Fredrikson,  Z. B.  Celik"
10,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Explainable Black-Box Attacks Against Model-based Authentication,26955.txt,http://arxiv.org/abs/1810.00024v1,by_author_abbreviation,S\. Jha,"ernot,  P. McDaniel,  X. Wu,  S. Jha,  and  A. Swami,  “Distillatio"
11,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Explainable Black-Box Attacks Against Model-based Authentication,26955.txt,http://arxiv.org/abs/1810.00024v1,by_author_abbreviation,S\. Jha,"2018. 
[106]  M. Fredrikson,  S. Jha, and  T. Ristenpart,  “Model  "
12,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Joint Mind Modeling for Explanation Generation in Complex Human-Robot
  Collaborative Tasks",26955.txt,http://arxiv.org/abs/2007.12803v1,by_author_abbreviation,S\. Wang," 
X. Huang,  M. Kwiatkowska,  S. Wang,  and  M. Wu,  “Safety  verifi"
13,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,BayLIME: Bayesian Local Interpretable Model-Agnostic Explanations,26955.txt,http://arxiv.org/abs/2012.03058v1,by_author_abbreviation,X\. Huang,"n. Springer, 2017, pp. 3–29. 
X. Huang,  M. Kwiatkowska,  S. Wang,  a"
14,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,FairLens: Auditing Black-box Clinical Decision Support Systems,26955.txt,http://arxiv.org/abs/2011.04049v1,by_author_abbreviation,D\. Pedreschi," F. Turini, F. Giannotti, and D. Pedreschi, “A survey of methods for 
[51"
15,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Formalizing Trust in Artificial Intelligence: Prerequisites, Causes and
  Goals of Human Trust in AI",26955.txt,http://arxiv.org/abs/2010.07487v3,by_author_abbreviation,T\. Miller,"] 
vol. 267, pp. 1–38, 2019. 
T. Miller, “Explanation in artificial in"
16,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,A Grounded Interaction Protocol for Explainable Artificial Intelligence,26955.txt,http://arxiv.org/abs/1903.02409v1,by_author_abbreviation,T\. Miller,"] 
vol. 267, pp. 1–38, 2019. 
T. Miller, “Explanation in artificial in"
17,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Quantitative Evaluations on Saliency Methods: An Experimental Study,26955.txt,http://arxiv.org/abs/2012.15616v1,by_author_abbreviation,X\. Li,"Liang, H. Li, M. Su, P. Bian, X. Li, and W. Shi, “Deep text classi"
18,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Quantitative Evaluations on Saliency Methods: An Experimental Study,26955.txt,http://arxiv.org/abs/2012.15616v1,by_author_abbreviation,H\. Li,"W), 2018, pp. 1–7. 
B. Liang, H. Li, M. Su, P. Bian, X. Li, and W."
19,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Towards a Grounded Dialog Model for Explainable Artificial Intelligence,26955.txt,http://arxiv.org/abs/1806.08055v1,by_author_abbreviation,T\. Miller,"] 
vol. 267, pp. 1–38, 2019. 
T. Miller, “Explanation in artificial in"
20,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Ada-SISE: Adaptive Semantic Input Sampling for Efficient Explanation of
  Convolutional Neural Networks",26955.txt,http://arxiv.org/abs/2102.07799v1,by_author_abbreviation,H\. Kim,".  Tae,  Y. Roh,  Y. H.  Oh,  H. Kim,  and  S. E.  Whang,  “Data  C"
21,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Explaining Convolutional Neural Networks through Attribution-Based Input
  Sampling and Block-Wise Feature Aggregation",26955.txt,http://arxiv.org/abs/2010.00672v2,by_author_abbreviation,H\. Kim,".  Tae,  Y. Roh,  Y. H.  Oh,  H. Kim,  and  S. E.  Whang,  “Data  C"
22,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Distributed Linguistic Representations in Decision Making: Taxonomy, Key
  Elements and Applications, and Challenges in Data Science and Explainable
  Artificial Intelligence",26955.txt,http://arxiv.org/abs/2008.01499v2,by_author_abbreviation,H\. Zhang,"208–4215. 
M. Cheng,  J. Yi,  H. Zhang,  P.-Y.  Chen,  and  C.-J.  Hs"
23,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Distributed Linguistic Representations in Decision Making: Taxonomy, Key
  Elements and Applications, and Challenges in Data Science and Explainable
  Artificial Intelligence",26955.txt,http://arxiv.org/abs/2008.01499v2,by_author_abbreviation,H\. Zhang,"EE, 2016, pp. 372–387. 
[93] 
H. Zhang,  Y. Yu,  J. Jiao,  E. P.  Xin"
24,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Explanation in Artificial Intelligence: Insights from the Social
  Sciences",26955.txt,http://arxiv.org/abs/1706.07269v3,by_author_abbreviation,T\. Miller,"] 
vol. 267, pp. 1–38, 2019. 
T. Miller, “Explanation in artificial in"
25,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Towards A Rigorous Science of Interpretable Machine Learning,26955.txt,http://arxiv.org/abs/1702.08608v2,by_arxiv_id,1702.08608,"ning: 
[55] 
prints, p. arXiv:1702.08608, 2017. 
F. Doshi-Velez and B."
26,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Towards A Rigorous Science of Interpretable Machine Learning,26955.txt,http://arxiv.org/abs/1702.08608v2,by_author_abbreviation,F\. Doshi-Velez,", p. arXiv:1702.08608, 2017. 
F. Doshi-Velez and B. Kim, “Towards A Rigorou"
27,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Towards A Rigorous Science of Interpretable Machine Learning,26955.txt,http://arxiv.org/abs/1702.08608v2,by_author_abbreviation,B\. Kim,"08, 2017. 
F. Doshi-Velez and B. Kim, “Towards A Rigorous Science o"
28,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Interpretable Machine Learning: Fundamental Principles and 10 Grand
  Challenges",26955.txt,http://arxiv.org/abs/2103.11251v1,by_author_abbreviation,C\. Rudin,"vol. 51, no. 5, p. 93, 2019. 
C. Rudin, “Stop explaining black box ma"
29,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Proceedings of NIPS 2016 Workshop on Interpretable Machine Learning for
  Complex Systems",26955.txt,http://arxiv.org/abs/1611.09139v1,by_author_abbreviation,B\. Kim,"08, 2017. 
F. Doshi-Velez and B. Kim, “Towards A Rigorous Science o"
30,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Interpretable Machine Learning Model for Early Prediction of Mortality
  in Elderly Patients with Multiple Organ Dysfunction Syndrome (MODS): a
  Multicenter Retrospective Study and Cross Validation",26955.txt,http://arxiv.org/abs/2001.10977v1,by_author_abbreviation,C\. Liu,"019. 
30 
[105]  N. Carlini,  C. Liu,  Ú. Erlingsson,  J. Kos,  and"
31,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Interpretable machine learning: definitions, methods, and applications",26955.txt,http://arxiv.org/abs/1901.04592v1,by_arxiv_id,1901.04592,"ns,” arXiv e-prints, p. arXiv:1901.04592, Jan. 2019. 
W. J. Murdoch, C"
32,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Interpretable machine learning: definitions, methods, and applications",26955.txt,http://arxiv.org/abs/1901.04592v1,by_author_abbreviation,C\. Singh,"2, Jan. 2019. 
W. J. Murdoch, C. Singh, K. Kumbier, R. Abbasi-Asl, an"
33,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Interpretable machine learning: definitions, methods, and applications",26955.txt,http://arxiv.org/abs/1901.04592v1,by_author_abbreviation,K\. Kumbier,"19. 
W. J. Murdoch, C. Singh, K. Kumbier, R. Abbasi-Asl, and B. Yu, “In"
34,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Interpretable machine learning: definitions, methods, and applications",26955.txt,http://arxiv.org/abs/1901.04592v1,by_author_abbreviation,R\. Abbasi-Asl,"urdoch, C. Singh, K. Kumbier, R. Abbasi-Asl, and B. Yu, “Interpretable mac"
35,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Interpretable machine learning: definitions, methods, and applications",26955.txt,http://arxiv.org/abs/1901.04592v1,by_author_abbreviation,B\. Yu,". Kumbier, R. Abbasi-Asl, and B. Yu, “Interpretable machine learni"
36,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,Interpretable Machine Learning Models for the Digital Clock Drawing Test,26955.txt,http://arxiv.org/abs/1606.07163v1,by_author_abbreviation,C\. Rudin,"vol. 51, no. 5, p. 93, 2019. 
C. Rudin, “Stop explaining black box ma"
37,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"In Pursuit of Interpretable, Fair and Accurate Machine Learning for
  Criminal Recidivism Prediction",26955.txt,http://arxiv.org/abs/2005.04176v1,by_author_abbreviation,C\. Rudin,"vol. 51, no. 5, p. 93, 2019. 
C. Rudin, “Stop explaining black box ma"
38,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Nothing Else Matters: Model-Agnostic Explanations By Identifying
  Prediction Invariance",26955.txt,http://arxiv.org/abs/1611.05817v1,by_author_abbreviation,S\. Singh,"014. 
[119]  M. T.  Ribeiro,  S. Singh,  and  C. Guestrin,  “Why  sho"
39,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"Nothing Else Matters: Model-Agnostic Explanations By Identifying
  Prediction Invariance",26955.txt,http://arxiv.org/abs/1611.05817v1,by_author_abbreviation,C\. Guestrin,"T.  Ribeiro,  S. Singh,  and  C. Guestrin,  “Why  should  I  trust  you?"
40,oecd,THE ROBUSTNESS AND EXPLAINABILITY OF ARTIFICIAL INTELLIGENCE,"IAIA-BL: A Case-based Interpretable Deep Learning Model for
  Classification of Mass Lesions in Digital Mammography",26955.txt,http://arxiv.org/abs/2103.12308v1,by_author_abbreviation,C\. Rudin,"vol. 51, no. 5, p. 93, 2019. 
C. Rudin, “Stop explaining black box ma"
