,name,description,country,documentUrl,startDate,endDate,oecdId
0,​Artificial Intelligence Innovation Action Plan for Institutions of Higher Education,The action plan lays out a number of objectives designed to significantly enhance China’s cadre of AI talent and its university AI curricula by 2030.,China,https://cset.georgetown.edu/wp-content/uploads/Notice-of-the-Ministry-of-Education-on-Issuing-the-Artificial-Intelligence-Innovation-Action-Plan-for-Institutes-of-Higher-Education.pdf,2018,2030,26851
1,"""Automated Vehicles"" Bill in the Road Traffic Act","Germany enacted a bill legalizing automated vehicles (""AV Bill""), which modifies the current Road Traffic Act and defines the requirements for highly and fully automated vehicles to use public roads.",Germany,https://www.bmvi.de/SharedDocs/EN/Documents/DG/eight-act-amending-the-road-traffic-act.pdf?__blob=publicationFile,2017,,26811
2,"""DIGITAL KAZAKHSTAN"" GOVERNMENT PROGRAMME","“Digital Kazakhstan” is a programme aiming to elevate the living standards of each resident in the country using digital techniques. One key aspect of the program is ""innovative ecosystem formation"".",Kazakhstan,https://digitalkz.kz/en/about-the-program/,2018,2022,25280
3,100 EXPERIMENTS,100E is AI Singapore’s flagship programme to solve industries’ AI problem statements and help them build their own AI team.,Singapore,https://www.aisingapore.org/industryinnovation/100e/,2018,,24543
4,12TH NATIONAL ECONOMIC AND SOCIAL DEVELOPMENT PLAN,"The 12th NESDP aims to develop Science, Technology, Research, and Innovation to enhance the nations economy and quality of life for its people.",Thailand,https://www.oneplanetnetwork.org/sites/default/files/thailand_national_economic_and_social_development_plan_nesdp.pdf,2017,2021,26088
5,2023 INDUSTRY AND TECHNOLOGY STRATEGY,"Ministry of Industry and Technology has published the 2023 Industry and Technology Strategy, which aims to carry out a program that covers the fields of industry and technology with a holistic approach, and designed specifically according to the dynamics of the country, provides wide participation and mobilizes the society. The Strategy consists of five main pillars: “High Technology and Innovation”, “Digital Transformation and Industry Move”, “Entrepreneurship”, “Human Capital” and “Infrastructure”. The Strategy Paper is in concert with Turkey’s 2023 Goals.",Turkey,https://www.sanayi.gov.tr/strateji2023/sts-ktp.pdf,2019,,25608
6,32nd Amendment to the Austrian Motor Vehicles Act,This Act grants permission for certain automotive functions/tasks to be done by automated systems.,Austria,https://www.bmk.gv.at/dam/jcr:6ec4b736-79b6-48f1-9fb8-5d281d4c8b6f/roadsafety_report2016.pdf,2016,,26814
7,A GUIDE TO USING AI IN THE PUBLIC SECTOR,The UK Government has published a guide on how to build and use artificial intelligence in the public sector.,United Kingdom,https://www.gov.uk/government/collections/a-guide-to-using-artificial-intelligence-in-the-public-sector,2019,,24815
8,ACCELERATING MEDICINES PARTNERSHIP,"The Accelerating Medicines Partnership (AMP) is a public-private partnership between the National Institutes of Health (NIH), the U.S. Food and Drug Administration (FDA), multiple biopharmaceutical and life science companies and non-profit organizations.",United States,https://www.nih.gov/research-training/accelerating-medicines-partnership-amp,2014,,25079
10,ACTION PLAN AI,The Flemish Region of Belgium launched an action plan on artificial intelligence (AI).,Belgium - Flanders,https://www.ewi-vlaanderen.be/nieuws/vlaams-actieplan-artificiele-intelligentie-gelanceerd,2019,2024,26101
11,ACTION PLAN FOR DIGITAL TRANSFORMATION OF SLOVAKIA,"Action plan for the transformation of Slovakia into a successful digital country and development of the digital single market. The action plan offers a set of concrete steps on how to start building a sustainable and human centric, and trustworthy AI ecosystem.",Slovak Republic,https://www.vicepremier.gov.sk/wp-content/uploads/2019/10/AP-DT-English-Version-FINAL.pdf,2019,2022,25880
12,Action plan for Digitalisation and AI in Mobility,"To implement the Federal Government's national AI strategy, BMVI has drawn up the action plan ""Digitalization and AI in Mobility"".",Germany,https://www.bmvi.de/SharedDocs/DE/Artikel/DG/aktionsplan-kuenstliche-intelligenz.html,2018,,26753
14,ADDRESSING HUMAN RIGHTS CONCERNS ARISING FROM FACIAL RECOGNITION TECHNOLOGY,The French Government is co-designing a policy framework to address human rights concerns arising from the use of facial recognition technology in collaboration with the World Economic Forum.,France,https://www.weforum.org/projects/responsible-limits-on-facial-recognition-technology,2019,,26451
